,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,AgeOfHouse,YearsSinceRenov,TotalBathNum,PorchSize,IsBasement,IsFirePlace,IsGarage
0,1,4.110873864173311,RL,4.189654742026425,9.042040056544485,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,5.2832037287379885,Gd,TA,PConc,Gd,TA,No,GLQ,6.561030665896573,Unf,0.0,5.017279836814924,6.75343791859778,GasA,Ex,Y,SBrkr,6.75343791859778,6.75110146893676,0.0,7.444833273892193,1.0,0.0,2,1,3,0.6931471805599453,Gd,2.19722457733622,Typ,0.0,,Attchd,2003.0,RFn,2.0,548.0,TA,TA,Y,0.0,4.127134385045092,0.0,0.0,0.0,0.0,0.0,2,2008,WD,Normal,5,5,4.0,4.127134385045092,True,False,True
1,2,3.044522437723423,RL,4.394449154672439,9.169622538697624,Pave,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,6.88653164253051,Unf,0.0,5.652489180268651,7.141245122350491,GasA,Ex,Y,SBrkr,7.141245122350491,0.0,0.0,7.141245122350491,0.0,0.6931471805599453,2,0,3,0.6931471805599453,TA,1.9459101490553128,Typ,0.6931471805599453,TA,Attchd,1976.0,RFn,2.0,460.0,TA,TA,Y,5.700443573390687,0.0,0.0,0.0,0.0,0.0,0.0,5,2007,WD,Normal,31,31,2.6931471805599454,0.0,True,True,True
2,3,4.110873864173311,RL,4.23410650459726,9.328212292571072,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,5.093750200806762,Gd,TA,PConc,Gd,TA,Mn,GLQ,6.18826412308259,Unf,0.0,6.075346031088684,6.825460036255307,GasA,Ex,Y,SBrkr,6.825460036255307,6.765038976780541,0.0,7.488293515159428,1.0,0.0,2,1,3,0.6931471805599453,Gd,1.9459101490553128,Typ,0.6931471805599453,TA,Attchd,2001.0,RFn,2.0,608.0,TA,TA,Y,0.0,3.7612001156935615,0.0,0.0,0.0,0.0,0.0,9,2008,WD,Normal,7,6,4.0,3.7612001156935615,True,True,True
3,4,4.262679877041316,RL,4.110873864173311,9.164401140034736,Pave,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,,0.0,TA,TA,BrkTil,TA,Gd,No,ALQ,5.37989735354046,Unf,0.0,6.293419278846481,6.6293632534374485,GasA,Gd,Y,SBrkr,6.8690144506657065,6.6293632534374485,0.0,7.4489161025442,1.0,0.0,1,0,3,0.6931471805599453,Gd,2.079441541679836,Typ,0.6931471805599453,Gd,Detchd,1998.0,Unf,3.0,642.0,TA,TA,Y,0.0,3.58351893845611,5.60947179518496,0.0,0.0,0.0,0.0,2,2006,WD,Abnorml,91,36,2.0,9.19299073364107,True,True,True
4,5,4.110873864173311,RL,4.442651256490317,9.565283817736766,Pave,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,5.860786223465865,Gd,TA,PConc,Gd,TA,Av,GLQ,6.486160788944089,Unf,0.0,6.19644412779452,7.044032897274685,GasA,Ex,Y,SBrkr,7.044032897274685,6.960347729101308,0.0,7.695757990554761,1.0,0.0,2,1,4,0.6931471805599453,Gd,2.302585092994046,Typ,0.6931471805599453,TA,Attchd,2000.0,RFn,3.0,836.0,TA,TA,Y,5.262690188904886,4.442651256490317,0.0,0.0,0.0,0.0,0.0,12,2008,WD,Normal,8,8,4.0,4.442651256490317,True,True,True
5,6,3.9318256327243257,RL,4.454347296253507,9.55506418479516,Pave,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,TA,Wood,Gd,TA,No,GLQ,6.597145701886651,Unf,0.0,4.174387269895637,6.680854678790215,GasA,Ex,Y,SBrkr,6.680854678790215,6.340359303727752,0.0,7.217443431696533,1.0,0.0,1,1,1,0.6931471805599453,TA,1.791759469228055,Typ,0.0,,Attchd,1993.0,Unf,2.0,480.0,TA,TA,Y,3.713572066704308,3.4339872044851463,0.0,5.771441123130016,0.0,0.0,6.55250788703459,10,2009,WD,Normal,16,14,3.0,9.205428327615163,True,False,True
6,7,3.044522437723423,RL,4.330733340286331,9.218804450388312,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,5.231108616854587,Gd,TA,PConc,Ex,TA,Av,GLQ,7.222566018822171,Unf,0.0,5.762051382780177,7.430707082545968,GasA,Ex,Y,SBrkr,7.43543801981455,0.0,0.0,7.43543801981455,1.0,0.0,2,0,3,0.6931471805599453,Gd,2.079441541679836,Typ,0.6931471805599453,Gd,Attchd,2004.0,RFn,2.0,636.0,TA,TA,Y,5.545177444479562,4.060443010546419,0.0,0.0,0.0,0.0,0.0,8,2007,WD,Normal,3,2,3.0,4.060443010546419,True,True,True
7,8,4.110873864173311,RL,4.23410650459726,9.247925132303454,Pave,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,5.484796933490655,TA,TA,CBlock,Gd,TA,Mn,ALQ,6.756932389247553,BLQ,3.49650756146648,5.37989735354046,7.010311867307229,GasA,Ex,Y,SBrkr,7.010311867307229,6.891625897052253,0.0,7.645397699428633,1.0,0.0,2,1,3,0.6931471805599453,TA,2.079441541679836,Typ,1.0986122886681098,TA,Attchd,1973.0,RFn,2.0,484.0,TA,TA,Y,5.4638318050256105,5.3230099791384085,5.43372200355424,0.0,0.0,0.0,5.860786223465865,11,2009,WD,Normal,36,36,4.0,10.75673198269265,True,True,True
8,9,3.9318256327243257,RM,3.951243718581428,8.71948076085107,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,6.859614903654202,6.859614903654202,GasA,Gd,Y,FuseF,6.930494765951626,6.6240652277998935,0.0,7.4815557019095165,0.0,0.0,2,0,2,1.0986122886681098,TA,2.19722457733622,Min1,1.0986122886681098,TA,Detchd,1931.0,Unf,2.0,468.0,Fa,TA,Y,4.51085950651685,0.0,5.327876168789581,0.0,0.0,0.0,0.0,4,2008,WD,Abnorml,77,58,2.0,5.327876168789581,True,True,True
9,10,5.25227342804663,RL,3.9318256327243257,8.912069097970134,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,BrkTil,TA,TA,No,GLQ,6.747586526829315,Unf,0.0,4.948759890378168,6.899723107284872,GasA,Ex,Y,SBrkr,6.982862751468942,0.0,0.0,6.982862751468942,1.0,0.0,1,0,2,1.0986122886681098,TA,1.791759469228055,Typ,1.0986122886681098,TA,Attchd,1939.0,RFn,1.0,205.0,Gd,TA,Y,0.0,1.6094379124341005,0.0,0.0,0.0,0.0,0.0,1,2008,WD,Normal,69,58,2.0,1.6094379124341005,True,True,True
